

CUMULATIVE TIME
================================================================================
         4060040 function calls (2914095 primitive calls) in 1.347 seconds

   Ordered by: cumulative time
   List reduced from 474 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.017    0.017    1.348    1.348 profile_changes.py:15(profile_cache_population)
      3/1    0.011    0.004    1.264    1.264 static_external_analyzer.py:680(populate_library_cache)
        1    0.000    0.000    0.317    0.317 cache.py:231(flush)
        1    0.049    0.049    0.317    0.317 __init__.py:120(dump)
   268924    0.032    0.000    0.238    0.000 encoder.py:414(_iterencode)
      275    0.001    0.000    0.209    0.001 static_external_analyzer.py:1723(_convert_ast_to_class_info)
1386638/268924    0.172    0.000    0.206    0.000 encoder.py:334(_iterencode_dict)
      279    0.000    0.000    0.189    0.001 static_external_analyzer.py:2104(_extract_class_parameters)
 4606/279    0.006    0.000    0.189    0.001 static_external_analyzer.py:2129(_walk_class_body)
      187    0.000    0.000    0.188    0.001 parser.py:28(parse)
      187    0.187    0.001    0.187    0.001 {method 'parse' of 'tree_sitter.Parser' objects}
      561    0.000    0.000    0.184    0.000 queries.py:48(_execute_query)
      561    0.184    0.000    0.184    0.000 {method 'matches' of 'tree_sitter.QueryCursor' objects}
     1070    0.008    0.000    0.168    0.000 static_external_analyzer.py:2176(_extract_parameter_info)
     1070    0.007    0.000    0.148    0.000 parameter_extractor.py:465(extract_parameter_info_from_assignment)
        1    0.011    0.011    0.136    0.136 static_external_analyzer.py:508(_build_file_dependency_graph_from_trees)
      374    0.003    0.000    0.133    0.000 queries.py:176(find_imports)
      891    0.004    0.000    0.084    0.000 pathlib.py:663(relative_to)
   165565    0.070    0.000    0.070    0.000 {method 'split' of 'str' objects}
      495    0.001    0.000    0.070    0.000 static_external_analyzer.py:1156(_get_full_class_path_cached)
        1    0.000    0.000    0.067    0.067 static_external_analyzer.py:53(__init__)
        2    0.000    0.000    0.066    0.033 subprocess.py:419(check_output)
        2    0.000    0.000    0.066    0.033 subprocess.py:508(run)
        2    0.000    0.000    0.065    0.032 subprocess.py:1167(communicate)
        2    0.000    0.000    0.065    0.032 subprocess.py:2070(_communicate)
        4    0.000    0.000    0.065    0.016 selectors.py:402(select)
        4    0.065    0.016    0.065    0.016 {method 'poll' of 'select.poll' objects}
   106591    0.026    0.000    0.064    0.000 pathlib.py:519(__eq__)
      187    0.001    0.000    0.059    0.000 queries.py:144(find_classes)
    14154    0.004    0.000    0.057    0.000 <frozen _collections_abc>:1022(__iter__)
     1782    0.002    0.000    0.057    0.000 pathlib.py:690(is_relative_to)
     1081    0.026    0.000    0.055    0.000 static_external_analyzer.py:2295(_base_matches_parameterized_class)
    12372    0.008    0.000    0.054    0.000 pathlib.py:277(__getitem__)
        1    0.000    0.000    0.050    0.050 static_external_analyzer.py:97(_populate_all_library_info_cache)
        1    0.000    0.000    0.050    0.050 python_environment.py:85(get_all_libraries_info)
     5431    0.006    0.000    0.047    0.000 parameter_extractor.py:150(get_keyword_arguments)
      495    0.001    0.000    0.044    0.000 static_external_analyzer.py:2214(_resolve_base_class_paths)
     1070    0.029    0.000    0.041    0.000 ast_navigator.py:240(extract_multiline_definition)
      187    0.001    0.000    0.040    0.000 static_external_analyzer.py:1189(_get_full_class_path)
    16722    0.009    0.000    0.038    0.000 pathlib.py:380(with_segments)
    31930    0.023    0.000    0.038    0.000 utils.py:16(get_value)
    11481    0.005    0.000    0.036    0.000 pathlib.py:420(_from_parsed_parts)
     7752    0.004    0.000    0.035    0.000 pathlib.py:551(drive)
   213369    0.014    0.000    0.033    0.000 pathlib.py:484(_str_normcase)
     4351    0.004    0.000    0.032    0.000 pathlib.py:407(_load_parts)
   268923    0.031    0.000    0.031    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     8409    0.004    0.000    0.028    0.000 pathlib.py:437(__str__)
     1782    0.002    0.000    0.027    0.000 <frozen _collections_abc>:1032(__contains__)
    11846    0.006    0.000    0.025    0.000 parameter_extractor.py:162(extract_single_argument)
    16729    0.007    0.000    0.024    0.000 pathlib.py:1157(__init__)




TOTAL TIME
================================================================================
         4060040 function calls (2914095 primitive calls) in 1.347 seconds

   Ordered by: internal time
   List reduced from 474 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      187    0.187    0.001    0.187    0.001 {method 'parse' of 'tree_sitter.Parser' objects}
      561    0.184    0.000    0.184    0.000 {method 'matches' of 'tree_sitter.QueryCursor' objects}
1386638/268924    0.172    0.000    0.206    0.000 encoder.py:334(_iterencode_dict)
   165565    0.070    0.000    0.070    0.000 {method 'split' of 'str' objects}
        4    0.065    0.016    0.065    0.016 {method 'poll' of 'select.poll' objects}
        1    0.049    0.049    0.317    0.317 __init__.py:120(dump)
   268924    0.032    0.000    0.238    0.000 encoder.py:414(_iterencode)
   268923    0.031    0.000    0.031    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     1070    0.029    0.000    0.041    0.000 ast_navigator.py:240(extract_multiline_definition)
     1081    0.026    0.000    0.055    0.000 static_external_analyzer.py:2295(_base_matches_parameterized_class)
   106591    0.026    0.000    0.064    0.000 pathlib.py:519(__eq__)
   345987    0.024    0.000    0.024    0.000 {built-in method builtins.isinstance}
    31930    0.023    0.000    0.038    0.000 utils.py:16(get_value)
    95908    0.022    0.000    0.022    0.000 {built-in method builtins.hasattr}
        4    0.019    0.005    0.019    0.005 decoder.py:344(raw_decode)
283197/259334    0.018    0.000    0.021    0.000 {built-in method builtins.len}
        1    0.017    0.017    1.348    1.348 profile_changes.py:15(profile_cache_population)
    88755    0.014    0.000    0.014    0.000 {built-in method _json.encode_basestring_ascii}
   213369    0.014    0.000    0.033    0.000 pathlib.py:484(_str_normcase)
    24779    0.014    0.000    0.014    0.000 {method 'join' of 'str' objects}
    45018    0.012    0.000    0.012    0.000 {method 'child_by_field_name' of 'tree_sitter.Node' objects}
        1    0.011    0.011    0.136    0.136 static_external_analyzer.py:508(_build_file_dependency_graph_from_trees)
    16729    0.011    0.000    0.017    0.000 pathlib.py:358(__init__)
      3/1    0.011    0.004    1.264    1.264 static_external_analyzer.py:680(populate_library_cache)
     4352    0.010    0.000    0.020    0.000 pathlib.py:387(_parse_path)
    95408    0.010    0.000    0.010    0.000 {method 'get' of 'dict' objects}
    16722    0.009    0.000    0.038    0.000 pathlib.py:380(with_segments)
    12372    0.008    0.000    0.054    0.000 pathlib.py:277(__getitem__)
      278    0.008    0.000    0.014    0.000 cache.py:314(_deserialize_param_class_info)
     1070    0.008    0.000    0.168    0.000 static_external_analyzer.py:2176(_extract_parameter_info)
    16729    0.007    0.000    0.024    0.000 pathlib.py:1157(__init__)
     1070    0.007    0.000    0.148    0.000 parameter_extractor.py:465(extract_parameter_info_from_assignment)
